vBestLabels1,vBestLabels2,vBestLabels3,vBestLabels4,vBestLabels5,vBestLabels6,vBestLabels7
12164,0.195699199836971,20,Histogram,LMNN,cityblock,centroid
12165,0.19567703422749,5,Polygon,KernelPCA,mahalanobis,weighted
12166,0.19567399678463,2,Histogram,LMNN,mahalanobis,weighted
12167,0.19567399678463,5,Histogram,LMNN,mahalanobis,weighted
12168,0.19567399678463,10,Histogram,LMNN,mahalanobis,weighted
12169,0.19567399678463,20,Histogram,LMNN,mahalanobis,weighted
12170,0.195636951505132,20,Histogram,SymSNE,cosine,median
12171,0.195588915714659,5,Polygon,CFA,cosine,ward
12172,0.195545321840886,10,Polygon,KernelPCA,mahalanobis,complete
12173,0.195426666433157,10,Histogram,MCML,seuclidean,centroid
12174,0.195420143965858,2,Histogram,Sammon,cityblock,single
12175,0.19540473924921,20,Histogram,Sammon,seuclidean,single
12176,0.195366194040228,20,Histogram,SymSNE,euclidean,weighted
12177,0.195366194040228,20,Histogram,SymSNE,minkowski,weighted
12178,0.195355656541579,10,Histogram,LandmarkIsomap,correlation,single
12179,0.195324295474576,20,Polygon,LDA,cosine,single
12180,0.195298409682765,10,Polygon,KernelPCA,seuclidean,complete
12181,0.195272905316365,2,Histogram,KernelPCA,cityblock,average
12182,0.19524324375399,10,Polygon,MCML,cosine,single
12183,0.195240838808961,5,Polygon,KernelPCA,spearman,single
12184,0.195232269235865,20,Polygon,KernelPCA,correlation,centroid
